E number of the additive,Name of the additive,Flavouring categories to which the additive may be added,Maximum level
"E 420
 E 421
 E 953
 E 965
 E 966
 E 967
 E 968","Sorbitol
 Mannitol
 Isomalt
 Maltitol
 Lactitol
 Xylitol
 Erythritol",All flavourings,"quantum satis for purposes other than sweetening, not as flavour enhancers"
E 200-202,Sorbic acid and potassium sorbate (Table 2 of Part 6),All flavourings,1 500mg/kg (singly or in combination expressed as the free acid) in flavourings
E 210,Benzoic acid,All flavourings,1 500mg/kg (singly or in combination expressed as the free acid) in flavourings
E 211,Sodium benzoate,All flavourings,1 500mg/kg (singly or in combination expressed as the free acid) in flavourings
E 212,Potassium benzoate,All flavourings,1 500mg/kg (singly or in combination expressed as the free acid) in flavourings
E 213,Calcium benzoate,All flavourings,1 500mg/kg (singly or in combination expressed as the free acid) in flavourings
E 310,Propyl gallate,Essential oils,"1 000mg/kg (propyl gallate, TBHQ and BHA, individually or in combination) in the essential oils"
E 319,Tertiary-butyl hydroquinone (TBHQ),Essential oils,"1 000mg/kg (propyl gallate, TBHQ and BHA, individually or in combination) in the essential oils"
E 320,Butylated hydroxyanisole (BHA),Flavourings other than essential oils,"100 mg/kg (1) (propyl gallate)
 200 mg/kg (1) (TBHQ and BHA, individually or in combination) in flavourings"
E 338 - E 452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates (Table 6 of Part 6)",All flavourings,40 000mg/kg (singly or in combination expressed as P2O5) in flavourings
E 392,Extracts of rosemary,All flavourings,1 000mg/kg (expressed as the sum of carnosol and carnosic acid) in flavourings
E 416,Karaya gum,All flavourings,50 000mg/kg in flavourings
E 423,Octenyl succinic acid modified gum arabic,"Flavouring-oil emulsions used in categories 03: edible ices; 07.2: Fine bakery wares; 08.3: Meat products, only processed poultry; 09.2: Processed fish and fishery products including molluscs and crustaceans and in category 16: Desserts excluding products covered in categories 1, 3 and 4.",500 mg/kg in the final food
E 423,Octenyl succinic acid modified gum arabic,"Flavouring-oil emulsions used in category 14.1.4: Flavoured drinks, only flavoured drinks not containing fruit juices and in carbonated flavoured drinks containing fruit juices and in category 14.2: Alcoholic beverages, including alcohol-free and low-alcohol counterparts.",220 mg/kg in the final food
